iter	Passed	Remaining
162	1668	8566
163	1676	8547
164	1686	8535
165	1695	8516
166	1704	8501
167	1713	8484
168	1722	8468
169	1731	8452
170	1740	8436
171	1749	8423
172	1760	8414
173	1770	8404
174	1779	8388
175	1788	8372
176	1797	8356
177	1806	8344
178	1817	8335
179	1826	8321
180	1836	8308
181	1845	8293
182	1854	8277
183	1863	8262
184	1872	8247
185	1880	8231
186	1889	8215
187	1899	8202
188	1908	8187
189	1918	8176
190	1928	8167
191	1937	8154
192	1947	8142
193	1957	8131
194	1967	8123
195	1975	8103
196	1984	8088
197	1992	8071
198	2001	8057
199	2010	8043
200	2019	8027
201	2028	8014
202	2037	7999
203	2047	7987
204	2055	7972
205	2066	7963
206	2075	7951
207	2085	7940
208	2095	7930
209	2104	7918
210	2115	7909
211	2125	7899
212	2135	7888
213	2144	7877
214	2154	7866
215	2165	7858
216	2175	7848
217	2185	7839
218	2196	7831
219	2206	7822
220	2216	7812
221	2227	7805
222	2237	7796
223	2248	7789
224	2258	7779
225	2267	7765
226	2276	7752
227	2285	7738
228	2294	7725
229	2303	7712
230	2313	7701
231	2322	7688
232	2331	7674
233	2339	7659
234	2348	7645
235	2357	7632
236	2366	7619
237	2376	7609
238	2385	7596
239	2396	7587
240	2405	7574
241	2414	7561
242	2423	7548
243	2432	7536
244	2442	7525
245	2450	7511
246	2459	7499
247	2468	7485
248	2477	7473
249	2486	7460
250	2495	7447
251	2504	7435
252	2513	7421
253	2522	7409
254	2531	7396
255	2541	7386
256	2550	7373
257	2560	7363
258	2569	7351
259	2578	7339
260	2588	7328
261	2596	7314
262	2606	7303
263	2615	7290
264	2624	7278
265	2632	7265
266	2641	7252
267	2650	7240
268	2659	7227
269	2668	7215
270	2677	7202
271	2687	7192
272	2696	7180
273	2705	7169
274	2714	7155
275	2724	7146
276	2733	7135
277	2744	7127
278	2754	7117
279	2763	7105
280	2772	7093
281	2781	7081
282	2790	7068
283	2799	7057
284	2808	7046
285	2817	7034
286	2826	7021
287	2836	7012
288	2845	6999
289	2854	6988
290	2863	6976
291	2872	6965
292	2881	6953
293	2890	6941
294	2899	6928
295	2907	6916
296	2917	6905
297	2926	6892
298	2937	6886
299	2947	6878
300	2960	6875
301	2972	6869
302	2992	6884
303	3012	6896
304	3027	6899
305	3038	6892
306	3050	6887
307	3063	6883
308	3073	6873
309	3083	6863
310	3092	6850
311	3102	6841
312	3113	6832
313	3128	6834
314	3138	6825
315	3149	6818
316	3160	6809
317	3171	6800
318	3181	6791
319	3191	6781
320	3201	6772
321	3211	6761
322	3220	6749
323	3230	6739
324	3240	6730
325	3252	6724
326	3264	6717
327	3277	6715
328	3288	6706
329	3298	6697
330	3309	6689
331	3320	6680
332	3331	6672
333	3342	6664
334	3352	6655
335	3363	6646
336	3372	6635
337	3383	6626
338	3393	6617
339	3405	6610
340	3416	6601
341	3426	6591
342	3435	6581
343	3446	6572
344	3456	6562
345	3466	6552
346	3477	6543
347	3486	6532
348	3495	6520
349	3504	6509
350	3514	6497
351	3524	6487
352	3536	6482
353	3547	6473
354	3557	6464
355	3567	6453
356	3578	6446
357	3589	6436
358	3598	6425
359	3609	6417
360	3619	6407
361	3628	6395
362	3637	6383
363	3646	6371
364	3656	6361
365	3666	6351
366	3678	6345
367	3689	6336
368	3699	6326
369	3709	6316
370	3719	6306
371	3731	6299
372	3743	6291
373	3753	6282
374	3764	6273
375	3774	6263
376	3783	6252
377	3793	6242
378	3804	6234
379	3815	6226
380	3826	6216
381	3836	6206
382	3846	6196
383	3856	6187
384	3867	6177
385	3877	6167
386	3887	6158
387	3897	6148
388	3907	6137
389	3916	6126
390	3925	6114
391	3934	6102
392	3943	6090
393	3956	6084
394	3966	6075
395	3980	6070
396	3991	6063
397	4002	6053
398	4012	6043
399	4022	6033
400	4032	6023
401	4042	6012
402	4052	6003
403	4061	5991
404	4071	5981
405	4080	5970
406	4089	5958
407	4099	5948
408	4109	5938
409	4123	5934
