Country of Registration,Event,Event Start Date,Event End Date,Name of vessel,Vessel Type,Main fishing gear,Subsidiary fishing gear 1,LOA,Tonnage GT,Power of main engine,MMSIstr
ITA,MOD,2024-09-12,2025-05-19,MARIA ASSUNTA,FX,OTB,PTM,28.7,157.0,515.0,247120480
ITA,MOD,2025-05-20,2100-12-31,MARIA ASSUNTA,FX,OTB,PTM,28.7,157.0,515.0,247120480
ITA,MOD,2024-09-12,2100-12-31,NINA MADRE,FX,OTB,PTM,28.7,157.0,515.0,247120470
ITA,MOD,2025-02-18,2100-12-31,ULDER,FX,OTB,PTM,26.8,133.0,633.0,247051830
ITA,MOD,2022-07-28,2100-12-31,NUOVO CAVALCANTE,FX,OTB,NO,13.15,11.0,162.0,247280560
ITA,MOD,2015-05-21,2100-12-31,NICHOLAS M.,FX,OTB,GNS,16.05,25.0,158.1,247053780
ITA,MOD,2021-04-25,2100-12-31,NUOVO KONDOR,FX,OTB,NO,14.07,23.0,104.5,247103670
ITA,MOD,2020-08-25,2024-09-25,NUOVA ORCA MARINA,FX,OTB,NO,14.67,27.0,101.2,247126330
ITA,MOD,2024-09-26,2025-04-13,NUOVA ORCA MARINA,FX,OTB,NO,14.67,27.0,101.2,247126330
ITA,MOD,2025-04-14,2100-12-31,NUOVA ORCA MARINA,FX,OTB,NO,14.67,27.0,101.2,247126330
ITA,MOD,2012-05-31,2012-07-01,VERONICA,FX,OTB,LLS,29.2,175.0,662.0,247151990
ITA,MOD,2012-07-02,2015-01-20,VERONICA,FX,OTB,LLS,29.2,175.0,662.0,247151990
ITA,MOD,2015-01-21,2015-05-21,VERONICA,FX,OTB,LLS,29.2,175.0,662.0,247151990
ITA,MOD,2015-05-22,2015-12-31,VERONICA,FX,OTB,LLS,29.2,175.0,662.0,247151990
ITA,MOD,2016-01-01,2100-12-31,VERONICA,FX,OTB,LLS,29.2,175.0,662.0,247151990
ITA,MOD,2021-04-09,2100-12-31,ANNA MARIA II,FX,OTB,LLS,14.33,10.0,162.0,247120020
ITA,MOD,2019-10-29,2100-12-31,QUEEN,FX,OTB,LLS,22.12,72.0,441.6,247150160
ITA,MOD,2020-08-25,2021-04-18,NUOVO MICHELE LUIGI,FX,OTB,NO,14.4,22.0,81.0,247125220
ITA,MOD,2021-04-19,2022-02-09,NUOVO MICHELE LUIGI,FX,OTB,NO,14.4,22.0,81.0,247125220
ITA,MOD,2022-02-10,2022-05-30,NUOVO MICHELE LUIGI,FX,OTB,SB,14.4,22.0,81.0,247125220
ITA,MOD,2022-05-31,2022-10-23,NUOVO MICHELE LUIGI,FX,OTB,NO,14.4,22.0,81.0,247125220
ITA,MOD,2022-10-24,2022-10-25,NUOVO MICHELE LUIGI,FX,OTB,SB,14.4,22.0,81.0,247125220
ITA,MOD,2022-10-26,2023-10-23,NUOVO MICHELE LUIGI,FX,OTB,NO,14.4,22.0,81.0,247125220
ITA,MOD,2023-10-24,2023-10-26,NUOVO MICHELE LUIGI,FX,OTB,SB,14.4,22.0,81.0,247125220
ITA,MOD,2023-10-27,2100-12-31,NUOVO MICHELE LUIGI,FX,OTB,NO,14.4,22.0,81.0,247125220
ITA,MOD,2020-08-25,2021-04-12,NUOVA SANTA MARIA,FX,OTB,NO,13.34,19.0,104.5,247124440
ITA,MOD,2021-04-13,2023-01-04,NUOVA SANTA MARIA,FX,OTB,NO,13.34,19.0,104.5,247124440
ITA,MOD,2023-01-05,2023-05-03,NUOVA SANTA MARIA,FX,OTB,NO,13.34,19.0,104.5,247124440
ITA,MOD,2023-05-04,2023-05-04,NUOVA SANTA MARIA,FX,OTB,NO,13.34,19.0,104.5,247124440
ITA,MOD,2023-05-05,2100-12-31,NUOVA SANTA MARIA,FX,OTB,NO,13.34,19.0,104.5,247124440
ITA,MOD,2013-05-31,2013-10-12,LUCIFERO,FX,OTB,PS,22.8,88.0,220.6,247080190
ITA,MOD,2013-10-13,2014-01-26,LUCIFERO,FX,OTB,PS,22.8,88.0,220.6,247080190
ITA,MOD,2014-01-27,2014-03-09,LUCIFERO,FX,OTB,PS,22.8,88.0,220.6,247080190
ITA,MOD,2014-03-10,2014-08-10,LUCIFERO,FX,OTB,PS,22.8,88.0,220.6,247080190
ITA,MOD,2014-08-11,2020-08-24,LUNA ROSSA II,FX,OTB,PS,22.8,88.0,220.6,247080190
ITA,MOD,2020-08-25,2020-12-03,LUNA ROSSA II,FX,OTB,PS,22.8,88.0,220.6,247080190
ITA,MOD,2020-12-04,2021-08-15,LUNA ROSSA II,FX,OTB,NO,22.8,88.0,220.6,247080190
ITA,MOD,2021-08-16,2100-12-31,LUNA ROSSA II,FX,OTB,NO,22.8,88.0,320.0,247080190
ITA,MOD,2012-05-31,2012-08-27,STEFANIA,FX,OTB,PTM,24.7,110.0,345.0,247071060
ITA,MOD,2012-08-28,2012-10-18,STEFANIA,FX,OTB,PTM,24.7,110.0,345.0,247071060
ITA,MOD,2012-10-19,2013-12-12,STEFANIA,FX,OTB,PTM,24.7,110.0,345.0,247071060
